Ids,text,sentiment
1,"જે લોકો તમારી ઘૃણા કરે છે પરંતુ તમારી સામે મીઠું બોલે છે, એવા દંભીઓ સાથે રહેવા કરતાં તો એકલા રહેવું સારું છે. જય દ્વારકાધીશ 🙏",positive
2,"જય શ્રી અંબે 🙏 સુપ્રભાત 🙏 ""મોહ એટલો ના કરો કે અવગુણો સંતાઈ જાય અને ઘૃણા પણ એટલી ના કરવી કે સદ્દગુણો દેખાય જ નહી."" આજનું પંચાંગ વિક્રમ સંવત : 2081 તારીખ : 05012025 વાર : રવિવાર તિથી : પોષ સુદ છઠ્ઠ (રાત્રે 08:16 સુધી છઠ્ઠ) ધનુર્માસ",positive
3,"""તુમ મુજે ખૂન દો મે તુમ્હે આઝાદી દુંગા"" કહનેવાલે રાષ્ટ્રવિર કો કોટી કોટી નમન 🙏 ઔર ઐસે મહાન આત્મા કે ખૂનસે અપને હાથ રંગનેવાલે શાહી લોગોસે આજભી હદય સે ઘૃણા હોતી હૈ 🙏જય કાળેશ્વર🙏 🙏જય હિંદ🙏",positive
4,"આપણે જે આનંદ અને પ્રેમથી વંચિત છીએ, તેનો બદલો બીજા સાથે લેવો એટલે ઘૃણા.!!",positive
5,હિન્દુઓ પ્રત્યેની આપની ઘૃણા અદ્ભુત છે. ક્યાંથી આ નકારાત્મકતા આવી રહી છે? સામાન્ય રહો. જીવન ટૂંકું છે. બે ઘડી આનંદો. અને હા ચમચા કે ભક્ત ના એવા બિરુદ ના આપતા.,positive
6,"ખુબ જ સરસ અભિનય, ""મેડલ"" જોતી વખતે ખરેખર ઘૃણા થતી હતી.",positive
7,"🙏, છતાં શાસન અને પ્રશાસન સિવાય કોઈ ખુશ નથી. વિકાસને જનતા પણ આવકારે જ છે, પણ ભષ્ટ્રાચારનેં ""સહકાર"" અવશ્ય નિંદનીય છે...",positive
8,જમ્મુકાશ્મીરના પહેલગામમાં આતંકવાદીઓ દ્વારા કાયરતાપૂર્ણ હુમલામાં નિર્દોષ પર્યટકોને નિશાન બનાવવું અત્યંત નિંદનીય અને પીડાદાયક છે. આ હુમલામાં પોતાના સ્વજનો ગુમાવનાર તમામ પ્રતિ હું મારી સંવેદના વ્યક્ત કરું છું.🙏🙏 પરમકૃપાળુ પરમાત્મા દિવંગત આત્માઓને શાંતિ અર્પે .🙏🙏 🙏,positive
9,નોર્મલાઈજેસન મા માર્ક વધે એ વાત ઠીક છે પણ એટલાં બધાં પણ ન વધવા જોઈએ કે સારા માર્ક વાળા વિધાર્થી ને પણ અન્યાય લાગે અમુક શિફ્ટ ના લોકોને એક સાથે ૨૨૨૫ માર્ક નો વધારો થયો છે જ્યારે અમુક ને તો માર્ક જ નથી વધ્યા તો એવાં વિધાર્થી ને શુ લાભ.. ખરેખર વાહિયાત અને નિંદનીય પરિણામ છે,positive
10,"વન્યપ્રાણીનું ખસીકરણ એ કોઇ તરંગી બાબુ અથવા વન્યજીવ વૈજ્ઞાનિકનો માનસિક તુક્કો છે. એક તો એ પ્રેક્ટિકલી શક્ય નથી, બીજું, કોઇ હિંસક પ્રાણીના ખસીકરણની એના વર્તનમાં ફેરફારની શક્યતાનો કોઇ વૈજ્ઞાનિક અભ્યાસ કર્યા વગર આવી કાર્યવાહી કેટલી યોગ્ય ગણાય..",positive
11,વાહ હિંસક જી વાહ!,positive
12,"વડોદરા: લાલબાગ બ્રિજ નીચે હિંસક જૂથ અથડામણ, ઘાતક હથિયારો સાથે એકબીજા પર તૂટી પડ્યા, 4 લોકો ઈજાગ્રસ્ત",positive
13,"જાહેર રસ્તા પર એક કાર ચાલકે મહિલા સાથે મારપીટ કરી હોવાનો વીડિયો સામે આવ્યો છે, જે સોશિયલ મીડિયામાં ઝડપથી વાયરલ થઈ રહ્યો છે. જાહેર સ્થળે આવી હિંસક હરકતોએ લોકોમાં ભારે રોષ ફેલાવ્યો છે અને કડક કાર્યવાહી કરવાની માંગ ઉઠી છે.",positive
14,"ગમે તેટલું હિંસક જાનવર હોય, એ બાળક સાથે રમત રમે જ..!! દ્રશ્યો ગુજરાત ના રાજુલા પંથકના એક ગામ ના છે. મોડી રાત્રે ગામ માં બે ગલૂડિયાં રમતા હતા ત્યારે ત્રણ સિંહ શિકાર અર્થે આવ્યા. શિકાર તો ન મળ્યો પણ બે ઘડી મસ્તી કરી લીધી..!! રાજૂલા ગુજરાત asiaticlion Gujarat",positive
15,"ચાલો પાડલીયા.... ભીલ પ્રદેશ, અંબાજી પાડલીયા ગામના પિડિત આદિવાસી પરિવારની સાથે જે હિંસક ઘટના ઘટી હતી તે મુદ્દા પર ભારત આદિવાસી પાર્ટીના પદાધિકારીઓ અને લીગલ ટીમ સાથે તારીખ 21122025, રવિવારે, સવારે 10 વાગે પાલડીયા ગામની મુલાકાત લેશે. અમે પીડિત આદિવાસીઓના જમીનના મુદ્દાઓને વાચા આપવા અને ન્યાય અપાવવા માટે આવી રહ્યા છે. તો તમે પણ ચાલો પાડલીયા.. SaveGujaratTribals SaveAravalli अरवल_बचओ",positive
16,બનાસકાંઠા: પાલડીયા ગામની હિંસક ઘટના મામલે ચૈતર વસાવા મેદાનમાં; આવતીકાલે લીગલ ટીમ સાથે મુલાકાત લઈ સત્યતાની તપાસ કરશે,positive
17,"બનાસકાંઠાના અંબાજી નજીક પાલડીયા ગામે સ્થાનિક આદિવાસીઓ અને પોલીસ વચ્ચે જે હિંસક ઘટના ઘટી હતી, તે મુદ્દે પદાધિકારીઓ અને લીગલ ટીમ સાથે આવતીકાલે તારીખ 17122025 રોજ પાલડીયા ગામની મુલાકાત લઈશું.",positive
18,"મે.સાહેબ,પ્રણામ. નધણીયાત હિંસક આખલાના ગડત વિભાગમાંથી યોગ્ય નિકાલ અંગે જરૂરી કાર્યવાહી આદેશો થવા માટે જાહેર હિતની નમ્ર વિનંતી છે. આભાર સહ, દિનેશ નાયક,ગડત. તા.૧૧.૧૨.૨૦૨૫",positive
19,"પરંતુ બહાદુર સ્ત્રીનો અર્થ એવો નથી થતો કે તે હિંસક જ હોય. એક કહેવત છે કે દુષ્ટ સામે લડતી વખતે દુષ્ટ બની જવું જરૂરી નથી. ૨૦૨૨માં તેલુગુમાં આવેલી ફિલ્મ Ammu આ વાતને સરસ રીતે ચરિતાર્થ કરે છે. અમુધા ઉર્ફે અમ્મુ એક પોલીસ ઇન્સ્પેક્ટર સાથે લગ્ન કરે છે, અને પછી ધીમે ધીમે તે (3)",positive
20,"જેવા ગામોના ગૌચરાણ તથા માલિકીના ડુંગરના સર્વે નંબર આવેલા છે. તેનો અંદાજીત કુલ વિસ્તાર ૪૫૦૦ હે. જેટલો હોવાનું અનુમાન છે. જેથી આ તમામ ક્ષેત્રફળમાં સિંહ, દીપડા,ઝરખ,ઘોરખોદીયા તથા અન્ય હિંસક પ્રાણીઓ વસવાટ કરી રહ્યા છે. પાલીતાણા ક્ષેત્રીય વિભાગમાં આદપુર, તળેટી અને જીવાપુર બીટ આવેલી છે",positive
21,સાબરકાંઠા સાબરકાંઠાના મજરા ગામે હિંસક જૂથ અથડામણ 100થી વધુ વાહનમાં તોડ ફોડઆગચંપી અહેમદાવાદમિત્રન્યુઝ ચેનલ ને સબ્સ્ક્રાઇબ કરો શેરકરો અને આપની આસપાસ બનતીઘટનાની સંચોટ વિગત તત્કાલ વાંચવા અમારા વોટ્સએપ ગ્રુપમાં જોડાવા માટે 8866167867,positive
22,"સાબરકાંઠાના મજરા ગામે હિંસક જૂથ અથડામણ: ધાર્મિક કાર્યક્રમમંદિરના વહીવટની તકરારમાં 100થી વધુ વાહનમાં તોડફોડઆગચંપી, 8 ઘાયલ; ચુસ્ત પોલીસ બંદોબસ્ત ગોઠવાયો",positive
23,"સાબરકાંઠાના મજરા ગામે હિંસક જૂથ અથડામણ; ધાર્મિક કાર્યક્રમમંદિરના વહીવટની તકરારમાં 100થી વધુ વાહનમાં તોડફોડઆગચંપી, 8 ઘાયલ; ચુસ્ત પોલીસ બંદોબસ્ત ગોઠવાયો",positive
24,સાબરકાંઠાના મજરા ગામે ગરબાને લઈને હિંસક જૂથ અથડામણ...100થી વધુ વાહનમાં તોડફોડ.. 30ની ધરપકડ GujaratiNews BreakingNews News18Gujarati,positive
25,"સાબરકાંઠાના મજરા ગામે હિંસક જૂથ અથડામણ: અનેક વાહનોમાં તોડફોડ, પોલીસના ધાડેધાડ ઉતર્યા",positive
26,"Sabarkantha: 100 વાહનોમાં તોડફોડ, આગચંપી, 8 ઘાયલ, સાબરકાંઠામાં હિંસક અથડામણ, આખું ગામ છાવણીમાં ફેરવાયું",positive
27,"સાબરકાંઠાના મજરા ગામે હિંસક જૂથ અથડામણ : ધાર્મિક કાર્યક્રમમંદિરના વહીવટની તકરારમાં 100થી વધુ વાહનમાં તોડફોડઆગચંપી, 8 ઘાયલ; ચુસ્ત પોલીસ બંદોબસ્ત ગોઠવાયો",positive
28,"અખિલેશ યાદવનું ફેસબુક પેજ સસ્પેન્ડ: 'હિંસકઅશ્લીલ પોસ્ટ' પર મેટાની કાર્યવાહી, સપા ભાજપ પર લગાવી રહી છે આરોપો",positive
29,Gandhinagar : ગાંધીનગરના બહિયલમાં શાંતિના દુશ્મનો સામે તંત્ર એક્શનમાં VTV Digital ગાંધીનગરના દહેગામના બહિયલ ગામમાં ત્રીજા નોરતાની રાત્રે થયેલા હિંસક તોફાનકાંડ બાદ વહીવટી અને પોલીસ તંત્ર એક્શન મોડમાં આવી ગયું છે. તોફાની તત્વો પર બુલડોઝર કાર્યવાહી કરવામાં આવી છે.,positive
30,"લદ્દાખવાસીઓ અલગ રાજ્યની મુખ્ય માંગ સાથે અનશન કરી રહ્યા હતા, જે અચાનક જ હિંસક પ્રદર્શનમાં ફેરવાઈ ગયું હતું. બંધ સાથે જોડાયેલા સંગઠનો, યુવાનો અને વહીવટીતંત્ર સમગ્ર ઘટનાક્રમ વિશે શું માને છે?",positive
